url,type_id,parent_url,target_keyword,menu_location,source_intake_field,booking_type
/,HOME,,trader foundation,logo/home,"A1,A6,A10",
/about-trader-foundation/,COMP-HUB,/,about trader foundation,About menu,"A1,A10",
/about-trader-foundation/why-choose-us/,COMP-CHILD,/about-trader-foundation/,why choose trader foundation,About menu,"A10,A12",
/about-trader-foundation/who-we-teach/,COMP-CHILD,/about-trader-foundation/,who trader foundation teaches,About menu,D1,
/contact/,COMP-CONTACT,/,contact trader foundation,Contact menu,"A3,A4,A5,I1",Phone Request
/request-a-proposal/,FORM-PRICING,/,trader foundation program info,nav utility,I1,Request for Proposal
/book-a-strategy-call/,FORM-CONSULT,/,book a strategy call,nav utility (highlighted),I1,Consultation Request
/paycheck-collector-strategy/,SVC-HUB,/,paycheck collector strategy,Learn menu,B (category),
/paycheck-collector-strategy/paycheck-collector-overview/,SVC-CHILD,/paycheck-collector-strategy/,paycheck collector overview,Learn menu > hub grid,B row,Request for Proposal
/paycheck-collector-strategy/defined-risk-options-income/,SVC-CHILD,/paycheck-collector-strategy/,defined-risk options income,Learn menu > hub grid,B row,Request for Proposal
/paycheck-collector-strategy/monthly-premium-collection/,SVC-CHILD,/paycheck-collector-strategy/,monthly premium collection,Learn menu > hub grid,B row,Request for Proposal
/paycheck-collector-strategy/selling-options-on-liquid-names/,SVC-CHILD,/paycheck-collector-strategy/,selling options on liquid names,Learn menu > hub grid,B row,Request for Proposal
/paycheck-collector-strategy/bull-and-bear-market-premium/,SVC-CHILD,/paycheck-collector-strategy/,bull & bear market premium,Learn menu > hub grid,B row,Request for Proposal
/paycheck-collector-strategy/discount-stock-accumulation/,SVC-CHILD,/paycheck-collector-strategy/,discount stock accumulation,Learn menu > hub grid,B row,Request for Proposal
/paycheck-collector-strategy/position-sizing-for-income/,SVC-CHILD,/paycheck-collector-strategy/,position sizing for income,Learn menu > hub grid,B row,Request for Proposal
/paycheck-collector-strategy/paycheck-collector-trade-examples/,SVC-CHILD,/paycheck-collector-strategy/,paycheck collector trade examples,Learn menu > hub grid,B row,Request for Proposal
/paycheck-collector-strategy/time-efficient-trade-management/,SVC-CHILD,/paycheck-collector-strategy/,time-efficient trade management,Learn menu > hub grid,B row,Request for Proposal
