url,type_id,parent_url,target_keyword,menu_location,source_intake_field,booking_type
/,HOME,,cryptocurrency consulting,logo/home,"A1,A6,A10",
/about-cryptocurrency-consulting/,COMP-HUB,/,about cryptocurrency consulting,About menu,"A1,A10",
/about-cryptocurrency-consulting/why-choose-us/,COMP-CHILD,/about-cryptocurrency-consulting/,why choose cryptocurrency consulting,About menu,"A10,A12",
/about-cryptocurrency-consulting/who-we-serve/,COMP-CHILD,/about-cryptocurrency-consulting/,who cryptocurrency consulting serves,About menu,D1,
/contact/,COMP-CONTACT,/,contact cryptocurrency consulting,Contact menu,"A3,A4,A5,I1",Phone Request
/request-a-proposal/,FORM-PRICING,/,cryptocurrency consulting proposal,nav utility,I1,Request for Proposal
/request-a-consultation/,FORM-CONSULT,/,request a consultation,nav utility (highlighted),I1,Consultation Request
/trading-bot-development/,SVC-HUB,/,trading bot development,Services menu,B (category),
/trading-bot-development/custom-crypto-trading-bots/,SVC-CHILD,/trading-bot-development/,custom crypto trading bots,Services menu > hub grid,B row,Request for Proposal
/trading-bot-development/spot-trading-bot-development/,SVC-CHILD,/trading-bot-development/,spot trading bot development,Services menu > hub grid,B row,Request for Proposal
/trading-bot-development/futures-bot-development/,SVC-CHILD,/trading-bot-development/,futures bot development,Services menu > hub grid,B row,Request for Proposal
/trading-bot-development/grid-trading-bot-systems/,SVC-CHILD,/trading-bot-development/,grid trading bot systems,Services menu > hub grid,B row,Request for Proposal
/trading-bot-development/dca-bot-strategies/,SVC-CHILD,/trading-bot-development/,dca bot strategies,Services menu > hub grid,B row,Request for Proposal
/trading-bot-development/exchange-api-integrations/,SVC-CHILD,/trading-bot-development/,exchange api integrations,Services menu > hub grid,B row,Request for Proposal
/trading-bot-development/paper-trading-bot-modes/,SVC-CHILD,/trading-bot-development/,paper trading bot modes,Services menu > hub grid,B row,Request for Proposal
/trading-bot-development/bot-monitoring-and-alerts/,SVC-CHILD,/trading-bot-development/,bot monitoring & alerts,Services menu > hub grid,B row,Request for Proposal
/trading-bot-development/risk-controls-for-bots/,SVC-CHILD,/trading-bot-development/,risk controls for bots,Services menu > hub grid,B row,Request for Proposal
/trading-bot-development/bot-maintenance-and-tuning/,SVC-CHILD,/trading-bot-development/,bot maintenance & tuning,Services menu > hub grid,B row,Request for Proposal
/signals-and-webhooks/,SVC-HUB,/,signals and webhooks,Services menu,B (category),
/signals-and-webhooks/realtime-trading-signals/,SVC-CHILD,/signals-and-webhooks/,real-time trading signals,Services menu > hub grid,B row,Request for Proposal
/signals-and-webhooks/webhook-strategy-execution/,SVC-CHILD,/signals-and-webhooks/,webhook strategy execution,Services menu > hub grid,B row,Request for Proposal
/signals-and-webhooks/tradingview-webhook-bridges/,SVC-CHILD,/signals-and-webhooks/,tradingview webhook bridges,Services menu > hub grid,B row,Request for Proposal
/signals-and-webhooks/multi-channel-signal-delivery/,SVC-CHILD,/signals-and-webhooks/,multi-channel signal delivery,Services menu > hub grid,B row,Request for Proposal
/signals-and-webhooks/signal-filtering-and-scoring/,SVC-CHILD,/signals-and-webhooks/,signal filtering & scoring,Services menu > hub grid,B row,Request for Proposal
/signals-and-webhooks/latency-aware-signal-pipelines/,SVC-CHILD,/signals-and-webhooks/,latency-aware signal pipelines,Services menu > hub grid,B row,Request for Proposal
/signals-and-webhooks/signal-audit-logging/,SVC-CHILD,/signals-and-webhooks/,signal audit logging,Services menu > hub grid,B row,Request for Proposal
/signals-and-webhooks/webhook-security-hardening/,SVC-CHILD,/signals-and-webhooks/,webhook security hardening,Services menu > hub grid,B row,Request for Proposal
/signals-and-webhooks/fail-safe-signal-handling/,SVC-CHILD,/signals-and-webhooks/,fail-safe signal handling,Services menu > hub grid,B row,Request for Proposal
/signals-and-webhooks/signal-to-bot-orchestration/,SVC-CHILD,/signals-and-webhooks/,signal-to-bot orchestration,Services menu > hub grid,B row,Request for Proposal
/blockchain-node-deployment/,SVC-HUB,/,blockchain node deployment,Services menu,B (category),
/blockchain-node-deployment/full-node-deployment/,SVC-CHILD,/blockchain-node-deployment/,full node deployment,Services menu > hub grid,B row,Request for Proposal
/blockchain-node-deployment/validator-node-setup/,SVC-CHILD,/blockchain-node-deployment/,validator node setup,Services menu > hub grid,B row,Request for Proposal
/blockchain-node-deployment/rpc-node-infrastructure/,SVC-CHILD,/blockchain-node-deployment/,rpc node infrastructure,Services menu > hub grid,B row,Request for Proposal
/blockchain-node-deployment/node-monitoring-and-uptime/,SVC-CHILD,/blockchain-node-deployment/,node monitoring & uptime,Services menu > hub grid,B row,Request for Proposal
/blockchain-node-deployment/node-security-hardening/,SVC-CHILD,/blockchain-node-deployment/,node security hardening,Services menu > hub grid,B row,Request for Proposal
/blockchain-node-deployment/backup-and-recovery-for-nodes/,SVC-CHILD,/blockchain-node-deployment/,backup & recovery for nodes,Services menu > hub grid,B row,Request for Proposal
/blockchain-node-deployment/multi-chain-node-operations/,SVC-CHILD,/blockchain-node-deployment/,multi-chain node operations,Services menu > hub grid,B row,Request for Proposal
/blockchain-node-deployment/cloud-vs-bare-metal-nodes/,SVC-CHILD,/blockchain-node-deployment/,cloud vs bare-metal nodes,Services menu > hub grid,B row,Request for Proposal
/blockchain-node-deployment/node-upgrade-playbooks/,SVC-CHILD,/blockchain-node-deployment/,node upgrade playbooks,Services menu > hub grid,B row,Request for Proposal
/blockchain-node-deployment/network-participation-support/,SVC-CHILD,/blockchain-node-deployment/,network participation support,Services menu > hub grid,B row,Request for Proposal
/trade-strategy-and-indicators/,SVC-HUB,/,trade strategy and indicators,Services menu,B (category),
/trade-strategy-and-indicators/custom-crypto-trade-strategies/,SVC-CHILD,/trade-strategy-and-indicators/,custom crypto trade strategies,Services menu > hub grid,B row,Request for Proposal
/trade-strategy-and-indicators/technical-indicator-development/,SVC-CHILD,/trade-strategy-and-indicators/,technical indicator development,Services menu > hub grid,B row,Request for Proposal
/trade-strategy-and-indicators/risk-profile-strategy-fit/,SVC-CHILD,/trade-strategy-and-indicators/,risk profile strategy fit,Services menu > hub grid,B row,Request for Proposal
/trade-strategy-and-indicators/backtesting-frameworks/,SVC-CHILD,/trade-strategy-and-indicators/,backtesting frameworks,Services menu > hub grid,B row,Request for Proposal
/trade-strategy-and-indicators/walk-forward-validation/,SVC-CHILD,/trade-strategy-and-indicators/,walk-forward validation,Services menu > hub grid,B row,Request for Proposal
/trade-strategy-and-indicators/portfolio-level-crypto-strategy/,SVC-CHILD,/trade-strategy-and-indicators/,portfolio-level crypto strategy,Services menu > hub grid,B row,Request for Proposal
/trade-strategy-and-indicators/market-regime-playbooks/,SVC-CHILD,/trade-strategy-and-indicators/,market regime playbooks,Services menu > hub grid,B row,Request for Proposal
/trade-strategy-and-indicators/execution-quality-review/,SVC-CHILD,/trade-strategy-and-indicators/,execution quality review,Services menu > hub grid,B row,Request for Proposal
/trade-strategy-and-indicators/strategy-documentation/,SVC-CHILD,/trade-strategy-and-indicators/,strategy documentation,Services menu > hub grid,B row,Request for Proposal
/trade-strategy-and-indicators/indicator-to-automation-handoff/,SVC-CHILD,/trade-strategy-and-indicators/,indicator-to-automation handoff,Services menu > hub grid,B row,Request for Proposal
/smart-contract-development/,SVC-HUB,/,smart contract development,Services menu,B (category),
/smart-contract-development/solidity-smart-contract-development/,SVC-CHILD,/smart-contract-development/,solidity smart contract development,Services menu > hub grid,B row,Request for Proposal
/smart-contract-development/token-contract-development/,SVC-CHILD,/smart-contract-development/,token contract development,Services menu > hub grid,B row,Request for Proposal
/smart-contract-development/defi-contract-prototyping/,SVC-CHILD,/smart-contract-development/,defi contract prototyping,Services menu > hub grid,B row,Request for Proposal
/smart-contract-development/nft-contract-development/,SVC-CHILD,/smart-contract-development/,nft contract development,Services menu > hub grid,B row,Request for Proposal
/smart-contract-development/upgradeable-contract-patterns/,SVC-CHILD,/smart-contract-development/,upgradeable contract patterns,Services menu > hub grid,B row,Request for Proposal
/smart-contract-development/smart-contract-testing/,SVC-CHILD,/smart-contract-development/,smart contract testing,Services menu > hub grid,B row,Request for Proposal
/smart-contract-development/gas-efficiency-reviews/,SVC-CHILD,/smart-contract-development/,gas efficiency reviews,Services menu > hub grid,B row,Request for Proposal
/smart-contract-development/contract-deployment-pipelines/,SVC-CHILD,/smart-contract-development/,contract deployment pipelines,Services menu > hub grid,B row,Request for Proposal
/smart-contract-development/smart-contract-documentation/,SVC-CHILD,/smart-contract-development/,smart contract documentation,Services menu > hub grid,B row,Request for Proposal
/smart-contract-development/post-deploy-monitoring/,SVC-CHILD,/smart-contract-development/,post-deploy monitoring,Services menu > hub grid,B row,Request for Proposal
/crypto-security-audits/,SVC-HUB,/,crypto security audits,Services menu,B (category),
/crypto-security-audits/smart-contract-security-audits/,SVC-CHILD,/crypto-security-audits/,smart contract security audits,Services menu > hub grid,B row,Request for Proposal
/crypto-security-audits/wallet-and-key-management-review/,SVC-CHILD,/crypto-security-audits/,wallet & key management review,Services menu > hub grid,B row,Request for Proposal
/crypto-security-audits/exchange-account-security-review/,SVC-CHILD,/crypto-security-audits/,exchange account security review,Services menu > hub grid,B row,Request for Proposal
/crypto-security-audits/infrastructure-security-for-crypto/,SVC-CHILD,/crypto-security-audits/,infrastructure security for crypto,Services menu > hub grid,B row,Request for Proposal
/crypto-security-audits/incident-response-readiness/,SVC-CHILD,/crypto-security-audits/,incident response readiness,Services menu > hub grid,B row,Request for Proposal
/crypto-security-audits/penetration-testing-for-dapps/,SVC-CHILD,/crypto-security-audits/,penetration testing for dapps,Services menu > hub grid,B row,Request for Proposal
/crypto-security-audits/dependency-and-supply-chain-review/,SVC-CHILD,/crypto-security-audits/,dependency & supply-chain review,Services menu > hub grid,B row,Request for Proposal
