url,type_id,parent_url,target_keyword,menu_location,source_questionnaire_field,booking_type
/,HOME,,north jersey moving services,logo/home,"A1,A6,A10",
/about-north-jersey-moving/,COMP-HUB,/,about north jersey moving services,About menu,"A1,A10",
/about-north-jersey-moving/why-choose-us/,COMP-CHILD,/about-north-jersey-moving/,why choose north jersey moving services,About menu,"A10,A12",
/about-north-jersey-moving/service-areas/,COMP-CHILD,/about-north-jersey-moving/,north jersey movers service areas,About menu,F1,
/contact/,COMP-CONTACT,/,contact north jersey moving services,Contact menu,"A3,A4,A5,I1",Phone Request
/request-a-proposal/,FORM-PRICING,/,moving proposal north jersey,nav utility,I1,Request for Proposal
/request-a-quote/,FORM-CONSULT,/,moving quote north jersey,nav utility (highlighted),I1,Consultation Request
/local-moving/,SVC-HUB,/,local moving north jersey,Services menu,B (category),
/local-moving/same-day-local-moves/,SVC-CHILD,/local-moving/,same-day local moves north jersey,Services menu > hub grid,B row,Request for Proposal
/local-moving/in-town-apartment-moves/,SVC-CHILD,/local-moving/,in-town apartment moves north jersey,Services menu > hub grid,B row,Request for Proposal
/local-moving/house-to-house-local-moves/,SVC-CHILD,/local-moving/,house-to-house local moves north jersey,Services menu > hub grid,B row,Request for Proposal
/local-moving/cross-county-north-jersey-moves/,SVC-CHILD,/local-moving/,cross-county north jersey moves north jersey,Services menu > hub grid,B row,Request for Proposal
/local-moving/studio-one-bedroom-local-moves/,SVC-CHILD,/local-moving/,studio & one-bedroom local moves north jersey,Services menu > hub grid,B row,Request for Proposal
/local-moving/multi-stop-local-moves/,SVC-CHILD,/local-moving/,multi-stop local moves north jersey,Services menu > hub grid,B row,Request for Proposal
/local-moving/last-minute-local-moves/,SVC-CHILD,/local-moving/,last-minute local moves north jersey,Services menu > hub grid,B row,Request for Proposal
/local-moving/weekend-local-moving/,SVC-CHILD,/local-moving/,weekend local moving north jersey,Services menu > hub grid,B row,Request for Proposal
/local-moving/hourly-local-moving/,SVC-CHILD,/local-moving/,hourly local moving north jersey,Services menu > hub grid,B row,Request for Proposal
/local-moving/local-move-planning/,SVC-CHILD,/local-moving/,local move planning north jersey,Services menu > hub grid,B row,Request for Proposal
/long-distance-moving/,SVC-HUB,/,long-distance moving north jersey,Services menu,B (category),
