url,type_id,parent_url,target_keyword,menu_location,source_intake_field,booking_type
/,HOME,,work office at the beach,logo/home,"A1,A2,A3,A10",
/about/,COMP-HUB,/,about work office at the beach,About menu,"A1,A6,A10",
/about/why-work-near-the-water/,COMP-CHILD,/about/,why work near the water,About menu,"A10,D",
/about/south-beach-location/,COMP-CHILD,/about/,south beach location,About menu,"A6,D",
/contact/,COMP-CONTACT,/,contact work office at the beach,Contact menu,"A3,A4,A5",Contact Request
/request-a-tour/,FORM-STAY,/,request a stay south beach,nav utility,I1,Request a Stay
/book-a-tour/,FORM-TOUR,/,book a tour work office beach,nav highlighted,I1,Book a Tour
/beachside-coworking.html,SVC-HUB,/,beachside coworking,Services menu,B (category),
/beachside-coworking/hot-desk-memberships/,SVC-CHILD,/beachside-coworking.html,hot desk memberships,Services menu > hub grid,B row,Book a Tour / Request a Stay
/beachside-coworking/dedicated-desk-plans/,SVC-CHILD,/beachside-coworking.html,dedicated desk plans,Services menu > hub grid,B row,Book a Tour / Request a Stay
/beachside-coworking/day-passes/,SVC-CHILD,/beachside-coworking.html,day passes,Services menu > hub grid,B row,Book a Tour / Request a Stay
/beachside-coworking/ocean-view-workstations/,SVC-CHILD,/beachside-coworking.html,ocean-view workstations,Services menu > hub grid,B row,Book a Tour / Request a Stay
/beachside-coworking/quiet-focus-zones/,SVC-CHILD,/beachside-coworking.html,quiet focus zones,Services menu > hub grid,B row,Book a Tour / Request a Stay
/beachside-coworking/high-speed-wifi-workspace/,SVC-CHILD,/beachside-coworking.html,high-speed wifi workspace,Services menu > hub grid,B row,Book a Tour / Request a Stay
/beachside-coworking/printing-and-admin-support/,SVC-CHILD,/beachside-coworking.html,printing and admin support,Services menu > hub grid,B row,Book a Tour / Request a Stay
/beachside-coworking/member-networking-events/,SVC-CHILD,/beachside-coworking.html,member networking events,Services menu > hub grid,B row,Book a Tour / Request a Stay
/beachside-coworking/tourist-professional-day-access/,SVC-CHILD,/beachside-coworking.html,tourist professional day access,Services menu > hub grid,B row,Book a Tour / Request a Stay
/beachside-coworking/flexible-monthly-memberships/,SVC-CHILD,/beachside-coworking.html,flexible monthly memberships,Services menu > hub grid,B row,Book a Tour / Request a Stay
/private-offices-suites.html,SVC-HUB,/,private offices & suites,Services menu,B (category),
/private-offices-suites/private-single-offices/,SVC-CHILD,/private-offices-suites.html,private single offices,Services menu > hub grid,B row,Book a Tour / Request a Stay
/private-offices-suites/team-office-suites/,SVC-CHILD,/private-offices-suites.html,team office suites,Services menu > hub grid,B row,Book a Tour / Request a Stay
/private-offices-suites/lockable-private-suites/,SVC-CHILD,/private-offices-suites.html,lockable private suites,Services menu > hub grid,B row,Book a Tour / Request a Stay
/private-offices-suites/furnished-office-options/,SVC-CHILD,/private-offices-suites.html,furnished office options,Services menu > hub grid,B row,Book a Tour / Request a Stay
/private-offices-suites/window-offices/,SVC-CHILD,/private-offices-suites.html,window offices,Services menu > hub grid,B row,Book a Tour / Request a Stay
/private-offices-suites/long-term-office-leases/,SVC-CHILD,/private-offices-suites.html,long-term office leases,Services menu > hub grid,B row,Book a Tour / Request a Stay
/private-offices-suites/month-to-month-private-offices/,SVC-CHILD,/private-offices-suites.html,month-to-month private offices,Services menu > hub grid,B row,Book a Tour / Request a Stay
/private-offices-suites/startup-team-suites/,SVC-CHILD,/private-offices-suites.html,startup team suites,Services menu > hub grid,B row,Book a Tour / Request a Stay
/private-offices-suites/executive-corner-offices/,SVC-CHILD,/private-offices-suites.html,executive corner offices,Services menu > hub grid,B row,Book a Tour / Request a Stay
/private-offices-suites/secure-access-suites/,SVC-CHILD,/private-offices-suites.html,secure access suites,Services menu > hub grid,B row,Book a Tour / Request a Stay
/meeting-rooms-events.html,SVC-HUB,/,meeting rooms & events,Services menu,B (category),
/meeting-rooms-events/boardroom-rentals/,SVC-CHILD,/meeting-rooms-events.html,boardroom rentals,Services menu > hub grid,B row,Book a Tour / Request a Stay
/meeting-rooms-events/small-huddle-rooms/,SVC-CHILD,/meeting-rooms-events.html,small huddle rooms,Services menu > hub grid,B row,Book a Tour / Request a Stay
/meeting-rooms-events/client-presentation-rooms/,SVC-CHILD,/meeting-rooms-events.html,client presentation rooms,Services menu > hub grid,B row,Book a Tour / Request a Stay
/meeting-rooms-events/zoom-ready-meeting-rooms/,SVC-CHILD,/meeting-rooms-events.html,zoom-ready meeting rooms,Services menu > hub grid,B row,Book a Tour / Request a Stay
/meeting-rooms-events/half-day-room-bookings/,SVC-CHILD,/meeting-rooms-events.html,half-day room bookings,Services menu > hub grid,B row,Book a Tour / Request a Stay
/meeting-rooms-events/full-day-event-spaces/,SVC-CHILD,/meeting-rooms-events.html,full-day event spaces,Services menu > hub grid,B row,Book a Tour / Request a Stay
/meeting-rooms-events/workshop-hosting/,SVC-CHILD,/meeting-rooms-events.html,workshop hosting,Services menu > hub grid,B row,Book a Tour / Request a Stay
/meeting-rooms-events/networking-mixer-spaces/,SVC-CHILD,/meeting-rooms-events.html,networking mixer spaces,Services menu > hub grid,B row,Book a Tour / Request a Stay
/meeting-rooms-events/podcast-interview-rooms/,SVC-CHILD,/meeting-rooms-events.html,podcast interview rooms,Services menu > hub grid,B row,Book a Tour / Request a Stay
/meeting-rooms-events/hybrid-meeting-support/,SVC-CHILD,/meeting-rooms-events.html,hybrid meeting support,Services menu > hub grid,B row,Book a Tour / Request a Stay
/beach-amenities-lifestyle.html,SVC-HUB,/,beach amenities & lifestyle,Services menu,B (category),
/beach-amenities-lifestyle/work-with-ocean-views/,SVC-CHILD,/beach-amenities-lifestyle.html,work with ocean views,Services menu > hub grid,B row,Book a Tour / Request a Stay
