url,type_id,parent_url,target_keyword,menu_location,source_intake_field,booking_type
/,HOME,,car rental near me,logo/home,"A1,A6,A10",
/about-car-rental-near-me/,COMP-HUB,/,about car rental near me,About menu,"A1,A10",
/about-car-rental-near-me/why-choose-us/,COMP-CHILD,/about-car-rental-near-me/,why choose car rental near me,About menu,"A10,A12",
/about-car-rental-near-me/who-we-serve/,COMP-CHILD,/about-car-rental-near-me/,car rental audiences,About menu,D1,
/contact/,COMP-CONTACT,/,contact car rental near me,Contact menu,"A3,A4,A5,I1",Phone Request
/request-a-proposal/,FORM-PRICING,/,car rental operator proposal,nav utility,I1,Request for Proposal
/get-a-rental-quote/,FORM-CONSULT,/,car rental quote,nav utility (highlighted),I1,Consultation Request
/airport-car-rental/,SVC-HUB,/,airport car rental,Services menu,B (category),
/airport-car-rental/newark-airport-car-rental/,SVC-CHILD,/airport-car-rental/,newark airport car rental,Services menu > hub grid,B row,Request for Proposal
/airport-car-rental/jfk-airport-car-rental/,SVC-CHILD,/airport-car-rental/,jfk airport car rental,Services menu > hub grid,B row,Request for Proposal
/airport-car-rental/lga-airport-car-rental/,SVC-CHILD,/airport-car-rental/,laguardia airport car rental,Services menu > hub grid,B row,Request for Proposal
/airport-car-rental/airport-shuttle-pickup/,SVC-CHILD,/airport-car-rental/,airport shuttle pickup,Services menu > hub grid,B row,Request for Proposal
/airport-car-rental/flight-delay-flexible-pickup/,SVC-CHILD,/airport-car-rental/,flight-delay flexible pickup,Services menu > hub grid,B row,Request for Proposal
/airport-car-rental/after-hours-airport-pickup/,SVC-CHILD,/airport-car-rental/,after-hours airport pickup,Services menu > hub grid,B row,Request for Proposal
/airport-car-rental/one-way-airport-dropoff/,SVC-CHILD,/airport-car-rental/,one-way airport drop-off,Services menu > hub grid,B row,Request for Proposal
/airport-car-rental/airport-weekend-getaway-rentals/,SVC-CHILD,/airport-car-rental/,airport weekend getaway rentals,Services menu > hub grid,B row,Request for Proposal
/airport-car-rental/family-airport-suv-rental/,SVC-CHILD,/airport-car-rental/,family airport suv rental,Services menu > hub grid,B row,Request for Proposal
/airport-car-rental/business-traveler-airport-cars/,SVC-CHILD,/airport-car-rental/,business traveler airport cars,Services menu > hub grid,B row,Request for Proposal
/city-car-rental/,SVC-HUB,/,city car rental,Services menu,B (category),
/city-car-rental/downtown-car-rental/,SVC-CHILD,/city-car-rental/,downtown car rental,Services menu > hub grid,B row,Request for Proposal
/city-car-rental/neighborhood-car-rental/,SVC-CHILD,/city-car-rental/,neighborhood car rental,Services menu > hub grid,B row,Request for Proposal
/city-car-rental/same-day-city-rental/,SVC-CHILD,/city-car-rental/,same-day city rental,Services menu > hub grid,B row,Request for Proposal
/city-car-rental/hourly-city-car-rental/,SVC-CHILD,/city-car-rental/,hourly city car rental,Services menu > hub grid,B row,Request for Proposal
/city-car-rental/overnight-city-rental/,SVC-CHILD,/city-car-rental/,overnight city rental,Services menu > hub grid,B row,Request for Proposal
/city-car-rental/grocery-run-car-rental/,SVC-CHILD,/city-car-rental/,grocery & errand rentals,Services menu > hub grid,B row,Request for Proposal
/city-car-rental/visiting-family-city-cars/,SVC-CHILD,/city-car-rental/,visiting family city cars,Services menu > hub grid,B row,Request for Proposal
/city-car-rental/city-suv-rental/,SVC-CHILD,/city-car-rental/,city suv rental,Services menu > hub grid,B row,Request for Proposal
/city-car-rental/compact-economy-city-cars/,SVC-CHILD,/city-car-rental/,compact economy city cars,Services menu > hub grid,B row,Request for Proposal
/city-car-rental/parking-friendly-city-rentals/,SVC-CHILD,/city-car-rental/,parking-friendly city rentals,Services menu > hub grid,B row,Request for Proposal
/one-way-car-rental/,SVC-HUB,/,one-way car rental,Services menu,B (category),
/one-way-car-rental/one-way-city-to-city/,SVC-CHILD,/one-way-car-rental/,one-way city-to-city,Services menu > hub grid,B row,Request for Proposal
/one-way-car-rental/one-way-airport-to-city/,SVC-CHILD,/one-way-car-rental/,one-way airport to city,Services menu > hub grid,B row,Request for Proposal
/one-way-car-rental/one-way-city-to-airport/,SVC-CHILD,/one-way-car-rental/,one-way city to airport,Services menu > hub grid,B row,Request for Proposal
/one-way-car-rental/relocation-one-way-rentals/,SVC-CHILD,/one-way-car-rental/,relocation one-way rentals,Services menu > hub grid,B row,Request for Proposal
/one-way-car-rental/college-move-one-way/,SVC-CHILD,/one-way-car-rental/,college move one-way,Services menu > hub grid,B row,Request for Proposal
/one-way-car-rental/road-trip-one-way/,SVC-CHILD,/one-way-car-rental/,road trip one-way,Services menu > hub grid,B row,Request for Proposal
/one-way-car-rental/one-way-suv-rental/,SVC-CHILD,/one-way-car-rental/,one-way suv rental,Services menu > hub grid,B row,Request for Proposal
/one-way-car-rental/one-way-van-rental/,SVC-CHILD,/one-way-car-rental/,one-way van rental,Services menu > hub grid,B row,Request for Proposal
/one-way-car-rental/low-fee-one-way-options/,SVC-CHILD,/one-way-car-rental/,low-fee one-way options,Services menu > hub grid,B row,Request for Proposal
/one-way-car-rental/multi-stop-one-way-planning/,SVC-CHILD,/one-way-car-rental/,multi-stop one-way planning,Services menu > hub grid,B row,Request for Proposal
/suv-truck-van-rental/,SVC-HUB,/,"suv, truck & van rental",Services menu,B (category),
/suv-truck-van-rental/suv-rental-near-me/,SVC-CHILD,/suv-truck-van-rental/,suv rental near me,Services menu > hub grid,B row,Request for Proposal
/suv-truck-van-rental/full-size-suv-rental/,SVC-CHILD,/suv-truck-van-rental/,full-size suv rental,Services menu > hub grid,B row,Request for Proposal
