site_name,primary_url,category,positioning,type,pages,domain_target,staging_banner,page_title,pr,pr_url,branch,netlify_admin,alt_urls,notes,updated_utc
SEO Cow,https://seo-cow-ai-f35875.netlify.app/,SEO / digital marketing,"ROI-driven SEO & digital marketing, Elizabeth NJ",Factory + live brand domain,~117,seocow.com,No,"SEO Cow | ROI-Driven SEO & Digital Marketing, Elizabeth NJ",#1,https://github.com/rrace002/seocow-demo/pull/1,cursor/seocow-demo-launch-fixes-8087,https://app.netlify.com/projects/seo-cow-ai-f35875,https://sweet-lokum-8b486e.netlify.app/ | https://seocow.com/,Live brand at seocow.com; Netlify hosts factory/staging builds,2026-07-26 03:07 UTC
Red Rabbit Security,https://red-rabbit-security-factory.netlify.app/,Cybersecurity / managed IT,Managed cybersecurity & IT nationwide,Factory staging,~88–117,redrabbitsec.com,Yes,Red Rabbit Security | Managed Cybersecurity & IT Nationwide,#2,https://github.com/rrace002/seocow-demo/pull/2,cursor/red-rabbit-security-site-8087,https://app.netlify.com/projects/red-rabbit-security-factory,https://redrabbitsec.com/,Live brand at redrabbitsec.com; factory is staging build,2026-07-26 03:07 UTC
Near Me OS,https://near-me-os.netlify.app/,Market OS / territory licensing,Stop selling services. Start owning markets.,Factory staging,117,nearmeos.io,Yes,Near Me OS | Own Local Near Me Markets,#3,https://github.com/rrace002/seocow-demo/pull/3,cursor/nearme-os-landing-8087,https://app.netlify.com/projects/near-me-os,https://nearmeos.io/,nearmeos.io currently placeholder; factory staging on Netlify,2026-07-26 03:07 UTC
Car Rental Near Me,https://car-rental-near-me.netlify.app/,Car rental / local mobility (Track B),"Airport, city & local rentals; territory licensing",Factory staging,117,carrentalnearme.com [confirm],Yes,"Car Rental Near Me | Airport, City & Local Rentals",#4,https://github.com/rrace002/seocow-demo/pull/4,cursor/car-rental-near-me-factory-8087,https://app.netlify.com/projects/car-rental-near-me,,Near Me OS Track B vertical demo,2026-07-26 03:07 UTC
Trader Foundation,https://trader-foundation-9055fb.netlify.app/,Trading education / options coaching,Options trading education for professionals (Paycheck Collector),Factory staging + live brand,117,trader.foundation,Yes,Trader Foundation | Options Trading Education for Professionals,#5,https://github.com/rrace002/seocow-demo/pull/5,cursor/trader-foundation-factory-8087,https://app.netlify.com/projects/trader-foundation-9055fb,https://gorgeous-licorice-2a6151.netlify.app/ | https://www.trader.foundation/,Live brand at trader.foundation; duplicate Netlify project gorgeous-licorice also hosts this build,2026-07-26 03:07 UTC
Cryptocurrency Consulting,https://cryptocurrency-consulting.netlify.app/,Blockchain / digital asset consulting,"Expert blockchain solutions — bots, contracts, audits, nodes",Factory staging + live brand,117,cryptocurrencyconsulting.io,Yes,Cryptocurrency Consulting | Expert Blockchain Solutions,#6 (merged),https://github.com/rrace002/seocow-demo/pull/6,cursor/cryptocurrency-consulting-factory-8087,https://app.netlify.com/projects/cryptocurrency-consulting,https://www.cryptocurrencyconsulting.io/,Live brand exists; factory staging on Netlify,2026-07-26 03:07 UTC
AI Consulting Near Me,https://ai-consulting-near-me.netlify.app/,AI consulting / automation,Unlock AI's potential for your business,Factory staging + live brand,117,aiconsultingnearme.com,Yes,AI Consulting Near Me | Unlock AI's Potential for Your Business,#7,https://github.com/rrace002/seocow-demo/pull/7,cursor/ai-consulting-near-me-factory-127e,https://app.netlify.com/projects/ai-consulting-near-me,https://aiconsultingnearme.com/,Live brand at aiconsultingnearme.com; factory staging on Netlify,2026-07-26 03:07 UTC
Trade OS,https://trade-os-factory.netlify.app/,Contractor / trades market OS,Stop chasing jobs. Start owning trade markets.,Factory staging,117,tradeos.io [confirm],Yes,Trade OS | Own Local Contractor & Trade Markets,#8,https://github.com/rrace002/seocow-demo/pull/8,cursor/trade-os-factory-127e,https://app.netlify.com/projects/trade-os-factory,,Sibling to Near Me OS for contractors & trades,2026-07-26 03:07 UTC
Capital Compliance,https://capital-compliance-fdceb8.netlify.app/,HIPAA / CMMC / NIST compliance,One-stop shop for compliance needs,Real / production site (per owner),117,[confirm],Yes,"Capital Compliance | HIPAA, CMMC & NIST Compliance",#9,https://github.com/rrace002/seocow-demo/pull/9,cursor/capital-compliance-factory-8087,https://app.netlify.com/projects/capital-compliance-fdceb8,,Owner identified this as the real site (not just automated revision),2026-07-26 03:07 UTC
Elizabeth Electrical Services,https://elizabeth-electrical-services.netlify.app/,Local electrician / electrical contractor,Your one stop shop for your electrical needs in Elizabeth NJ and the surrounding areas,Factory staging,117,elizabethelectricalservices.com [confirm],Yes,"Elizabeth Electrical Services | Electrician in Elizabeth, NJ",#11,https://github.com/rrace002/seocow-demo/pull/11,cursor/elizabeth-electrical-factory-127e,https://app.netlify.com/projects/elizabeth-electrical-services,,Elizabeth NJ + surrounding areas; FORM-CONSULT request-a-quote,2026-07-26 03:07 UTC
The Elizabeth Plumbing Stop,https://elizabeth-plumbing-stop.netlify.app/,Local plumbing & drain services,Your one stop shop for your plumbing and drain services in Elizabeth NJ,Factory staging,117,elizabethplumbingstop.com [confirm],Yes,"The Elizabeth Plumbing Stop | Plumbing & Drain Services in Elizabeth, NJ",#12,https://github.com/rrace002/seocow-demo/pull/12,cursor/elizabeth-plumbing-factory-127e,https://app.netlify.com/projects/elizabeth-plumbing-stop,,Elizabeth NJ plumbing & drains; FORM-CONSULT request-a-quote,2026-07-26 03:07 UTC
