url,type_id,parent_url,target_keyword,menu_location,source_questionnaire_field,booking_type
/,HOME,,1dev ai coding services,logo/home,"A1,A6,A10",
/about-1dev/,COMP-HUB,/,about 1dev ai coding services,About menu,"A1,A10",
/about-1dev/why-choose-us/,COMP-CHILD,/about-1dev/,why choose 1dev ai coding,About menu,"A10,A12",
/about-1dev/service-areas/,COMP-CHILD,/about-1dev/,1dev coding service areas,About menu,F1,
/contact/,COMP-CONTACT,/,contact 1dev ai coding,Contact menu,"A3,A4,A5,I1",Phone Request
/request-a-proposal/,FORM-PRICING,/,ai coding proposal,nav utility,I1,Request for Proposal
/request-a-quote/,FORM-CONSULT,/,ai coding quote,nav utility (highlighted),I1,Consultation Request
/custom-software-development/,SVC-HUB,/,custom software development 1dev,Services menu,B (category),
/custom-software-development/custom-business-applications/,SVC-CHILD,/custom-software-development/,custom business applications 1dev,Services menu > hub grid,B row,Request for Proposal
/custom-software-development/desktop-application-development/,SVC-CHILD,/custom-software-development/,desktop application development 1dev,Services menu > hub grid,B row,Request for Proposal
/custom-software-development/internal-tools-and-admin-panels/,SVC-CHILD,/custom-software-development/,internal tools & admin panels 1dev,Services menu > hub grid,B row,Request for Proposal
/custom-software-development/saas-product-development/,SVC-CHILD,/custom-software-development/,saas product development 1dev,Services menu > hub grid,B row,Request for Proposal
/custom-software-development/legacy-system-replacement/,SVC-CHILD,/custom-software-development/,legacy system replacement 1dev,Services menu > hub grid,B row,Request for Proposal
/custom-software-development/domain-specific-software-builds/,SVC-CHILD,/custom-software-development/,domain-specific software builds 1dev,Services menu > hub grid,B row,Request for Proposal
/custom-software-development/multi-tenant-application-development/,SVC-CHILD,/custom-software-development/,multi-tenant application development 1dev,Services menu > hub grid,B row,Request for Proposal
/custom-software-development/workflow-centric-custom-software/,SVC-CHILD,/custom-software-development/,workflow-centric custom software 1dev,Services menu > hub grid,B row,Request for Proposal
/custom-software-development/data-heavy-application-development/,SVC-CHILD,/custom-software-development/,data-heavy application development 1dev,Services menu > hub grid,B row,Request for Proposal
/custom-software-development/custom-software-architecture/,SVC-CHILD,/custom-software-development/,custom software architecture 1dev,Services menu > hub grid,B row,Request for Proposal
/web-application-development/,SVC-HUB,/,web application development 1dev,Services menu,B (category),
/web-application-development/full-stack-web-applications/,SVC-CHILD,/web-application-development/,full-stack web applications 1dev,Services menu > hub grid,B row,Request for Proposal
/web-application-development/customer-portals-and-dashboards/,SVC-CHILD,/web-application-development/,customer portals & dashboards 1dev,Services menu > hub grid,B row,Request for Proposal
/web-application-development/progressive-web-apps/,SVC-CHILD,/web-application-development/,progressive web apps 1dev,Services menu > hub grid,B row,Request for Proposal
/web-application-development/admin-consoles-and-back-offices/,SVC-CHILD,/web-application-development/,admin consoles & back offices 1dev,Services menu > hub grid,B row,Request for Proposal
/web-application-development/authentication-and-user-accounts/,SVC-CHILD,/web-application-development/,authentication & user accounts 1dev,Services menu > hub grid,B row,Request for Proposal
/web-application-development/real-time-web-applications/,SVC-CHILD,/web-application-development/,real-time web applications 1dev,Services menu > hub grid,B row,Request for Proposal
/web-application-development/ecommerce-web-applications/,SVC-CHILD,/web-application-development/,e-commerce web applications 1dev,Services menu > hub grid,B row,Request for Proposal
/web-application-development/content-driven-web-platforms/,SVC-CHILD,/web-application-development/,content-driven web platforms 1dev,Services menu > hub grid,B row,Request for Proposal
/web-application-development/single-page-application-development/,SVC-CHILD,/web-application-development/,single-page application development 1dev,Services menu > hub grid,B row,Request for Proposal
/web-application-development/server-side-rendered-web-apps/,SVC-CHILD,/web-application-development/,server-side rendered web apps 1dev,Services menu > hub grid,B row,Request for Proposal
/mobile-app-development/,SVC-HUB,/,mobile app development 1dev,Services menu,B (category),
/mobile-app-development/ios-app-development/,SVC-CHILD,/mobile-app-development/,ios app development 1dev,Services menu > hub grid,B row,Request for Proposal
/mobile-app-development/android-app-development/,SVC-CHILD,/mobile-app-development/,android app development 1dev,Services menu > hub grid,B row,Request for Proposal
/mobile-app-development/cross-platform-mobile-apps/,SVC-CHILD,/mobile-app-development/,cross-platform mobile apps 1dev,Services menu > hub grid,B row,Request for Proposal
/mobile-app-development/mobile-backend-apis/,SVC-CHILD,/mobile-app-development/,mobile backend apis 1dev,Services menu > hub grid,B row,Request for Proposal
/mobile-app-development/push-notifications-and-messaging/,SVC-CHILD,/mobile-app-development/,push notifications & messaging 1dev,Services menu > hub grid,B row,Request for Proposal
/mobile-app-development/offline-capable-mobile-apps/,SVC-CHILD,/mobile-app-development/,offline-capable mobile apps 1dev,Services menu > hub grid,B row,Request for Proposal
/mobile-app-development/mobile-app-ui-implementation/,SVC-CHILD,/mobile-app-development/,mobile app ui implementation 1dev,Services menu > hub grid,B row,Request for Proposal
/mobile-app-development/app-store-submission-support/,SVC-CHILD,/mobile-app-development/,app store submission support 1dev,Services menu > hub grid,B row,Request for Proposal
/mobile-app-development/mobile-app-rebuilds/,SVC-CHILD,/mobile-app-development/,mobile app rebuilds 1dev,Services menu > hub grid,B row,Request for Proposal
/mobile-app-development/companion-mobile-apps/,SVC-CHILD,/mobile-app-development/,companion mobile apps 1dev,Services menu > hub grid,B row,Request for Proposal
/ai-feature-integration/,SVC-HUB,/,ai feature integration 1dev,Services menu,B (category),
/ai-feature-integration/llm-features-in-existing-apps/,SVC-CHILD,/ai-feature-integration/,llm features in existing apps 1dev,Services menu > hub grid,B row,Request for Proposal
/ai-feature-integration/chat-and-assistant-interfaces/,SVC-CHILD,/ai-feature-integration/,chat & assistant interfaces 1dev,Services menu > hub grid,B row,Request for Proposal
/ai-feature-integration/document-qa-features/,SVC-CHILD,/ai-feature-integration/,document q&a features 1dev,Services menu > hub grid,B row,Request for Proposal
/ai-feature-integration/ai-search-and-retrieval/,SVC-CHILD,/ai-feature-integration/,ai search & retrieval 1dev,Services menu > hub grid,B row,Request for Proposal
/ai-feature-integration/prompt-to-action-workflows/,SVC-CHILD,/ai-feature-integration/,prompt-to-action workflows 1dev,Services menu > hub grid,B row,Request for Proposal
/ai-feature-integration/ai-content-generation-features/,SVC-CHILD,/ai-feature-integration/,ai content generation features 1dev,Services menu > hub grid,B row,Request for Proposal
/ai-feature-integration/recommendation-features/,SVC-CHILD,/ai-feature-integration/,recommendation features 1dev,Services menu > hub grid,B row,Request for Proposal
/ai-feature-integration/speech-and-transcription-features/,SVC-CHILD,/ai-feature-integration/,speech & transcription features 1dev,Services menu > hub grid,B row,Request for Proposal
/ai-feature-integration/ai-feature-guardrails-and-evals/,SVC-CHILD,/ai-feature-integration/,guardrails & evals for ai features 1dev,Services menu > hub grid,B row,Request for Proposal
/ai-feature-integration/human-in-the-loop-ai-features/,SVC-CHILD,/ai-feature-integration/,human-in-the-loop ai features 1dev,Services menu > hub grid,B row,Request for Proposal
/automation-and-workflows/,SVC-HUB,/,automation & workflows 1dev,Services menu,B (category),
/automation-and-workflows/business-process-automation/,SVC-CHILD,/automation-and-workflows/,business process automation 1dev,Services menu > hub grid,B row,Request for Proposal
/automation-and-workflows/scheduled-job-and-batch-automation/,SVC-CHILD,/automation-and-workflows/,scheduled job & batch automation 1dev,Services menu > hub grid,B row,Request for Proposal
/automation-and-workflows/data-sync-automation/,SVC-CHILD,/automation-and-workflows/,data sync automation 1dev,Services menu > hub grid,B row,Request for Proposal
/automation-and-workflows/notification-and-alert-workflows/,SVC-CHILD,/automation-and-workflows/,notification & alert workflows 1dev,Services menu > hub grid,B row,Request for Proposal
/automation-and-workflows/approval-workflow-automation/,SVC-CHILD,/automation-and-workflows/,approval workflow automation 1dev,Services menu > hub grid,B row,Request for Proposal
/automation-and-workflows/spreadsheet-and-form-automation/,SVC-CHILD,/automation-and-workflows/,spreadsheet & form automation 1dev,Services menu > hub grid,B row,Request for Proposal
/automation-and-workflows/ops-runbook-automation/,SVC-CHILD,/automation-and-workflows/,ops runbook automation 1dev,Services menu > hub grid,B row,Request for Proposal
/automation-and-workflows/lead-and-crm-automation/,SVC-CHILD,/automation-and-workflows/,lead & crm automation 1dev,Services menu > hub grid,B row,Request for Proposal
/automation-and-workflows/invoice-and-billing-automation/,SVC-CHILD,/automation-and-workflows/,invoice & billing automation 1dev,Services menu > hub grid,B row,Request for Proposal
/automation-and-workflows/custom-webhook-automation/,SVC-CHILD,/automation-and-workflows/,custom webhook automation 1dev,Services menu > hub grid,B row,Request for Proposal
