url,type_id,parent_url,target_keyword,menu_location,source_intake_field,booking_type
/,HOME,,capital compliance hipaa cmmc nist,logo/home,"A1,A6,A10",
/about-capital-compliance/,COMP-HUB,/,about capital compliance,About menu,"A1,A10",
/about-capital-compliance/why-choose-us/,COMP-CHILD,/about-capital-compliance/,why choose capital compliance,About menu,"A10,A12",
/about-capital-compliance/who-we-serve/,COMP-CHILD,/about-capital-compliance/,who capital compliance serves,About menu,D1,
/contact/,COMP-CONTACT,/,contact capital compliance,Contact menu,"A3,A4,A5,I1",Phone Request
/request-a-proposal/,FORM-PRICING,/,capital compliance proposal,nav utility,I1,Request for Proposal
/request-a-consultation/,FORM-CONSULT,/,request a consultation,nav utility (highlighted),I1,Consultation Request
/hipaa-compliance/,SVC-HUB,/,hipaa compliance,Services menu,B (category),
/hipaa-compliance/hipaa-security-rule-readiness/,SVC-CHILD,/hipaa-compliance/,hipaa security rule readiness,Services menu > hub grid,B row,Request for Proposal
/hipaa-compliance/hipaa-privacy-rule-support/,SVC-CHILD,/hipaa-compliance/,hipaa privacy rule support,Services menu > hub grid,B row,Request for Proposal
/hipaa-compliance/hipaa-risk-analysis/,SVC-CHILD,/hipaa-compliance/,hipaa risk analysis,Services menu > hub grid,B row,Request for Proposal
/hipaa-compliance/hipaa-gap-assessments/,SVC-CHILD,/hipaa-compliance/,hipaa gap assessments,Services menu > hub grid,B row,Request for Proposal
/hipaa-compliance/business-associate-agreements/,SVC-CHILD,/hipaa-compliance/,business associate agreements,Services menu > hub grid,B row,Request for Proposal
/hipaa-compliance/hipaa-policies-and-procedures/,SVC-CHILD,/hipaa-compliance/,hipaa policies & procedures,Services menu > hub grid,B row,Request for Proposal
/hipaa-compliance/hipaa-workforce-training/,SVC-CHILD,/hipaa-compliance/,hipaa workforce training,Services menu > hub grid,B row,Request for Proposal
/hipaa-compliance/breach-notification-readiness/,SVC-CHILD,/hipaa-compliance/,breach notification readiness,Services menu > hub grid,B row,Request for Proposal
/hipaa-compliance/hipaa-audit-preparation/,SVC-CHILD,/hipaa-compliance/,hipaa audit preparation,Services menu > hub grid,B row,Request for Proposal
/hipaa-compliance/ongoing-hipaa-program-support/,SVC-CHILD,/hipaa-compliance/,ongoing hipaa program support,Services menu > hub grid,B row,Request for Proposal
/cmmc-compliance/,SVC-HUB,/,cmmc compliance,Services menu,B (category),
/cmmc-compliance/cmmc-level-1-readiness/,SVC-CHILD,/cmmc-compliance/,cmmc level 1 readiness,Services menu > hub grid,B row,Request for Proposal
/cmmc-compliance/cmmc-level-2-readiness/,SVC-CHILD,/cmmc-compliance/,cmmc level 2 readiness,Services menu > hub grid,B row,Request for Proposal
/cmmc-compliance/cmmc-scoping-and-boundaries/,SVC-CHILD,/cmmc-compliance/,cmmc scoping & boundaries,Services menu > hub grid,B row,Request for Proposal
/cmmc-compliance/dfars-7012-alignment/,SVC-CHILD,/cmmc-compliance/,dfars 7012 alignment,Services menu > hub grid,B row,Request for Proposal
/cmmc-compliance/sprs-score-improvement/,SVC-CHILD,/cmmc-compliance/,sprs score improvement,Services menu > hub grid,B row,Request for Proposal
/cmmc-compliance/cmmc-gap-assessments/,SVC-CHILD,/cmmc-compliance/,cmmc gap assessments,Services menu > hub grid,B row,Request for Proposal
/cmmc-compliance/cui-handling-programs/,SVC-CHILD,/cmmc-compliance/,cui handling programs,Services menu > hub grid,B row,Request for Proposal
/cmmc-compliance/cmmc-assessment-preparation/,SVC-CHILD,/cmmc-compliance/,cmmc assessment preparation,Services menu > hub grid,B row,Request for Proposal
/cmmc-compliance/cmmc-for-supply-chain-partners/,SVC-CHILD,/cmmc-compliance/,cmmc for supply chain partners,Services menu > hub grid,B row,Request for Proposal
