url,type_id,parent_url,target_keyword,menu_location,source_questionnaire_field,booking_type
/,HOME,,elizabeth handyman home improvements,logo/home,"A1,A6,A10",
/about-elizabeth-handyman/,COMP-HUB,/,about elizabeth handyman home improvements,About menu,"A1,A10",
/about-elizabeth-handyman/why-choose-us/,COMP-CHILD,/about-elizabeth-handyman/,why choose elizabeth handyman home improvements,About menu,"A10,A12",
/about-elizabeth-handyman/service-areas/,COMP-CHILD,/about-elizabeth-handyman/,elizabeth nj handyman service areas,About menu,F1,
/contact/,COMP-CONTACT,/,contact elizabeth handyman,Contact menu,"A3,A4,A5,I1",Phone Request
/request-a-proposal/,FORM-PRICING,/,home improvement proposal elizabeth nj,nav utility,I1,Request for Proposal
/request-a-quote/,FORM-CONSULT,/,handyman quote elizabeth nj,nav utility (highlighted),I1,Consultation Request
/home-additions/,SVC-HUB,/,home additions elizabeth nj,Services menu,B (category),
/home-additions/room-addition-planning/,SVC-CHILD,/home-additions/,room addition planning elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/home-additions/single-room-addition/,SVC-CHILD,/home-additions/,single-room addition elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/home-additions/family-room-addition/,SVC-CHILD,/home-additions/,family room addition elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/home-additions/sunroom-addition/,SVC-CHILD,/home-additions/,sunroom addition elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/home-additions/second-story-addition/,SVC-CHILD,/home-additions/,second-story addition elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/home-additions/garage-conversion-addition/,SVC-CHILD,/home-additions/,garage conversion addition elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/home-additions/addition-foundation-prep/,SVC-CHILD,/home-additions/,addition foundation prep elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/home-additions/addition-framing-shell/,SVC-CHILD,/home-additions/,addition framing & shell elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/home-additions/addition-finish-carpentry/,SVC-CHILD,/home-additions/,addition finish carpentry elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/home-additions/addition-remodel-coordination/,SVC-CHILD,/home-additions/,addition remodel coordination elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/deck-building-repair/,SVC-HUB,/,deck building & repair elizabeth nj,Services menu,B (category),
/deck-building-repair/new-deck-construction/,SVC-CHILD,/deck-building-repair/,new deck construction elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/deck-building-repair/deck-repair/,SVC-CHILD,/deck-building-repair/,deck repair elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/deck-building-repair/deck-board-replacement/,SVC-CHILD,/deck-building-repair/,deck board replacement elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/deck-building-repair/deck-railing-install-repair/,SVC-CHILD,/deck-building-repair/,deck railing install & repair elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/deck-building-repair/deck-stair-building/,SVC-CHILD,/deck-building-repair/,deck stair building elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/deck-building-repair/composite-deck-install/,SVC-CHILD,/deck-building-repair/,composite deck installation elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/deck-building-repair/wood-deck-refinishing/,SVC-CHILD,/deck-building-repair/,wood deck refinishing elizabeth nj,Services menu > hub grid,B row,Request for Proposal
/deck-building-repair/deck-footing-framing-repair/,SVC-CHILD,/deck-building-repair/,deck footing & framing repair elizabeth nj,Services menu > hub grid,B row,Request for Proposal
