url,type_id,parent_url,target_keyword,menu_location,source_intake_field,booking_type
/,HOME,,AI consulting,logo/home,"A1,A6,A10",
/about-ai-consulting-near-me/,COMP-HUB,/,about AI consulting,About menu,"A1,A10",
/about-ai-consulting-near-me/why-choose-us/,COMP-CHILD,/about-ai-consulting-near-me/,why choose AI consulting,About menu,"A10,A12",
/about-ai-consulting-near-me/who-we-serve/,COMP-CHILD,/about-ai-consulting-near-me/,who AI consulting serves,About menu,D1,
/contact/,COMP-CONTACT,/,contact AI consulting,Contact menu,"A3,A4,A5,I1",Phone Request
/request-a-proposal/,FORM-PRICING,/,AI consulting proposal,nav utility,I1,Request for Proposal
/request-a-consultation/,FORM-CONSULT,/,request a consultation,nav utility (highlighted),I1,Consultation Request
/ai-strategy-consulting/,SVC-HUB,/,ai strategy consulting,Services menu,B (category),
/ai-strategy-consulting/ai-readiness-assessment/,SVC-CHILD,/ai-strategy-consulting/,ai readiness assessment,Services menu > hub grid,B row,Request for Proposal
/ai-strategy-consulting/ai-opportunity-analysis/,SVC-CHILD,/ai-strategy-consulting/,ai opportunity analysis,Services menu > hub grid,B row,Request for Proposal
/ai-strategy-consulting/custom-ai-roadmap/,SVC-CHILD,/ai-strategy-consulting/,custom ai roadmap,Services menu > hub grid,B row,Request for Proposal
/ai-strategy-consulting/roi-projection-modeling/,SVC-CHILD,/ai-strategy-consulting/,roi projection modeling,Services menu > hub grid,B row,Request for Proposal
/ai-strategy-consulting/technology-stack-selection/,SVC-CHILD,/ai-strategy-consulting/,technology stack selection,Services menu > hub grid,B row,Request for Proposal
/ai-strategy-consulting/executive-ai-briefings/,SVC-CHILD,/ai-strategy-consulting/,executive ai briefings,Services menu > hub grid,B row,Request for Proposal
/ai-strategy-consulting/competitive-ai-benchmarking/,SVC-CHILD,/ai-strategy-consulting/,competitive ai benchmarking,Services menu > hub grid,B row,Request for Proposal
/ai-strategy-consulting/change-management-planning/,SVC-CHILD,/ai-strategy-consulting/,change management planning,Services menu > hub grid,B row,Request for Proposal
/ai-strategy-consulting/pilot-use-case-selection/,SVC-CHILD,/ai-strategy-consulting/,pilot use-case selection,Services menu > hub grid,B row,Request for Proposal
/ai-strategy-consulting/ai-budget-and-resourcing/,SVC-CHILD,/ai-strategy-consulting/,ai budget and resourcing,Services menu > hub grid,B row,Request for Proposal
/process-automation-consulting/,SVC-HUB,/,process automation consulting,Services menu,B (category),
/process-automation-consulting/workflow-analysis/,SVC-CHILD,/process-automation-consulting/,workflow analysis,Services menu > hub grid,B row,Request for Proposal
/process-automation-consulting/intelligent-document-processing/,SVC-CHILD,/process-automation-consulting/,intelligent document processing,Services menu > hub grid,B row,Request for Proposal
/process-automation-consulting/rpa-plus-ai-automation/,SVC-CHILD,/process-automation-consulting/,rpa plus ai automation,Services menu > hub grid,B row,Request for Proposal
/process-automation-consulting/operations-automation-design/,SVC-CHILD,/process-automation-consulting/,operations automation design,Services menu > hub grid,B row,Request for Proposal
