url,type_id,parent_url,target_keyword,menu_location,source_intake_field,booking_type
/,HOME,,abner herrman brock,logo/home,"A1,A6,A10",
/about-ahb/,COMP-HUB,/,about abner herrman brock,About menu,"A1,A5,A6",
/about-ahb/why-choose-ahb/,COMP-CHILD,/about-ahb/,why choose ahb,About menu,"A10,A12",
/about-ahb/who-we-serve/,COMP-CHILD,/about-ahb/,who ahb serves,About menu,"C1,C2,C3",
/contact/,COMP-CONTACT,/,contact ahb,Contact menu,"A3,A4,A5",Contact Request
/request-a-proposal/,FORM-PROPOSAL,/,ahb proposal,nav utility,I1,Request for Proposal
/schedule-a-call/,FORM-CONSULT,/,schedule call ahb,nav highlighted,I1,Consultation Request
/core-equity-sma/,SVC-HUB,/,core equity sma,Services menu,B (category),
/core-equity-sma/large-cap-core-equity/,SVC-CHILD,/core-equity-sma/,large-cap core equity,Services menu > hub grid,B row,Schedule a Call
/core-equity-sma/high-quality-value-stocks/,SVC-CHILD,/core-equity-sma/,high-quality value stocks,Services menu > hub grid,B row,Schedule a Call
/core-equity-sma/growth-stock-selection/,SVC-CHILD,/core-equity-sma/,growth stock selection,Services menu > hub grid,B row,Schedule a Call
/core-equity-sma/dividend-growth-equities/,SVC-CHILD,/core-equity-sma/,dividend growth equities,Services menu > hub grid,B row,Schedule a Call
/core-equity-sma/equity-concentration-limits/,SVC-CHILD,/core-equity-sma/,equity concentration limits,Services menu > hub grid,B row,Schedule a Call
/core-equity-sma/sector-allocation-oversight/,SVC-CHILD,/core-equity-sma/,sector allocation oversight,Services menu > hub grid,B row,Schedule a Call
/core-equity-sma/equity-risk-parameters/,SVC-CHILD,/core-equity-sma/,equity risk parameters,Services menu > hub grid,B row,Schedule a Call
/core-equity-sma/equity-research-process/,SVC-CHILD,/core-equity-sma/,equity research process,Services menu > hub grid,B row,Schedule a Call
/core-equity-sma/equity-rebalancing-discipline/,SVC-CHILD,/core-equity-sma/,equity rebalancing discipline,Services menu > hub grid,B row,Schedule a Call
/core-equity-sma/equity-separate-accounts/,SVC-CHILD,/core-equity-sma/,equity separate accounts,Services menu > hub grid,B row,Schedule a Call
/taxable-bond-portfolios/,SVC-HUB,/,taxable bond portfolios,Services menu,B (category),
/taxable-bond-portfolios/investment-grade-taxable-bonds/,SVC-CHILD,/taxable-bond-portfolios/,investment-grade taxable bonds,Services menu > hub grid,B row,Schedule a Call
/taxable-bond-portfolios/corporate-bond-portfolios/,SVC-CHILD,/taxable-bond-portfolios/,corporate bond portfolios,Services menu > hub grid,B row,Schedule a Call
/taxable-bond-portfolios/government-bond-strategies/,SVC-CHILD,/taxable-bond-portfolios/,government bond strategies,Services menu > hub grid,B row,Schedule a Call
/taxable-bond-portfolios/income-generation-focus/,SVC-CHILD,/taxable-bond-portfolios/,income generation focus,Services menu > hub grid,B row,Schedule a Call
/taxable-bond-portfolios/capital-preservation-bonds/,SVC-CHILD,/taxable-bond-portfolios/,capital preservation bonds,Services menu > hub grid,B row,Schedule a Call
/taxable-bond-portfolios/duration-management/,SVC-CHILD,/taxable-bond-portfolios/,duration management,Services menu > hub grid,B row,Schedule a Call
/taxable-bond-portfolios/credit-quality-screening/,SVC-CHILD,/taxable-bond-portfolios/,credit quality screening,Services menu > hub grid,B row,Schedule a Call
/taxable-bond-portfolios/laddered-bond-portfolios/,SVC-CHILD,/taxable-bond-portfolios/,laddered bond portfolios,Services menu > hub grid,B row,Schedule a Call
/taxable-bond-portfolios/taxable-fixed-income-smas/,SVC-CHILD,/taxable-bond-portfolios/,taxable fixed income smas,Services menu > hub grid,B row,Schedule a Call
/taxable-bond-portfolios/bond-portfolio-customization/,SVC-CHILD,/taxable-bond-portfolios/,bond portfolio customization,Services menu > hub grid,B row,Schedule a Call
/municipal-bond-strategies/,SVC-HUB,/,municipal bond strategies,Services menu,B (category),
/municipal-bond-strategies/tax-exempt-municipal-bonds/,SVC-CHILD,/municipal-bond-strategies/,tax-exempt municipal bonds,Services menu > hub grid,B row,Schedule a Call
